orden-inicio,orden,Nombre,Vinculación,Texto,Fecha,Imagen,color-testi,color-tipo
21,21,Evaristo Valentí López,Director del Conservatorio Superior Bonifacio Gil en 2017,"Reconoció ante la jueza de instrucción que ""se rumoreaban varios candidatos y este era el más llamativo"" antes de que se le adjudicara el puesto. ",1 junio,https://servicios.hoy.es/datos/imagen/evaristo_valenti_2.jpg,#00000000,#1694d5
23,23,María del Rosario Mayoral Núñez,Relevó a Evaristo Valentí tras su cese como director,"Esta dejó de ser directora del Bonifacio Gil en junio de 2025 a petición propia y, durante su época, la relación de Sánchez con el conservatorio fue menor que con Evaristo Valentí.",1 junio,https://servicios.hoy.es/datos/imagen/mrosario_2.jpg,#00000000,#1694d5
25,25,Yolanda Sánchez Baltasar,Directora del Conservatorio Profesional Juan Vázquez desde 2010,Sus correos con Evaristo Valentí en 2017 desvelaron que sabían que el puesto iba a ser para el hermano del presidente con anterioridad a su adjudicación. Los dos ratificaron ante la jueza que no habían pedido la contratación de un coordinador.,1 junio,https://servicios.hoy.es/datos/imagen/yolanda_2.jpg,#00000000,#1694d5
24,24,Nerses Avakimyam Gasparov,Profesor de violín del conservatorio Juan Vázquez,"Se presentó a la plaza que finalmente consiguió David Sánchez en 2017. Ante la jueza de Instrucción explicó que le entrevisaron durante 15 minutos en aquel proceso, cuando la entrevista fue la prueba que decantó la elección de Sánchez Pérez-Castejón. También dijo que él no vio las notas de los aspirantes.",1 junio,https://servicios.hoy.es/datos/imagen/nerses_2.jpg,#00000000,#1694d5
7,7,José Luis Albarrán Babiano,Técnico de asesoramiento jurídico del área de Recursos Humanos en 2017,"En su declaración ante la jueza de Instrucción, Beatriz Biedma, dijo que como contratado de alta dirección, Sánchez ""estaba exento de la unidad de inspección"".",1 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
6,6,José Ramón Suárez Arias,Jefe de recursos humanos de la Diputación de Badajoz jubilado en 2025,"Aseveró ante la jueza que ""administrativamente no observó irregularidad en el puesto de David Sánchez"".",1 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
1,1,Julián Expósito Talavera,Director del área de Presidencia y Relaciones Institucionales de la Diputación de Badajoz (2017-2025),,1 junio,https://servicios.hoy.es/datos/imagen/julian_exposito_2.jpg,#00000000,#c90022
3,3,Francisco Serrano Murillo,Ex delegado sindical de CSIF en la Diputación de Badajoz hasta su jubilación en 2023,"En octubre de 2016, durante una mesa de negociación en la que el Gobierno provincial presentaba esta plaza, Serrano dijo que le «planteaba serias dudas» el puesto. Ante la jueza de Instrucción afirmó que ""en la Diputación ficha todo el mundo salvo los políticos"".",1 junio,https://servicios.hoy.es/datos/imagen/francisco_serrano_2.jpg,#00000000,#c90022
2,2,José María Cumbres Jiménez,Testigo-perito,Era el secretario general cuando se gestó y adjudicó el puesto de trabajo entre 2026 y 20217. Jubilado en 2021.,1 junio,https://servicios.hoy.es/datos/imagen/jose_maria_2.jpg,#00000000,#c90022
8,8,Enrique Pedrero Balas,Testigo-perito,Secretario general de la Diputación de Badajoz actual.,1 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
38,38,Ignacio María Sánchez Rubio,Empresario de Badajoz,Propietario de una vivienda que tenía en alquiler a través de Airbnb y que recibió una consulta de David Sánchez a través de la plataforma el día de antes de que Sánchez hiciera la entrevista que finalmente le dio el puesto.,1 junio,https://servicios.hoy.es/datos/imagen/ignancio_sanchez_2.jpg,#00000000,#d2d2d2
39,39,Álvaro Jaén Barbado,Era el portavoz de Podemos en la Asamblea de Extremadura en 2017,Fue el primero en desvelar que la plaza de coordinador de actividades musicales había ido a parar al hermano de Pedro Sánchez.,1 junio,https://servicios.hoy.es/datos/imagen/alvaro_jaen_2.jpg,#00000000,#d2d2d2
26,26,María Encarnación Cabezas Martín,Inspectora regional de la Agencia Tributaria en Extremadura,"A petición de la acusación popular se llama a los responsables de Hacienda en Extremadura, que ya declararon en la fase de Instrucción por elaborar un informe en el que no advertían el supuesto enriquecimiento ilícito que Manos Limpias denunció inicialmente. La UCO tampoco apreció un incremento patrimonial injustificado. La jueza terminó por enterrar las dudas sobre su patrimonio y su tributación en Portugal, pero la Audiencia llama de nuevo a los altos funcionarios de Hacienda en Extremadura.",1 junio,https://servicios.hoy.es/datos/imagen/encarnacion_cabezas_2.jpg,#00000000,#ffd030
27,27,Emilio Hurtado Valiño,Jefe de la Dependencia Regional de Gestión Tributaria de Extremadura,La jueza Beatriz Biedma echó un rapapolvo a los tres responsables de Hacienda por no haber firmado el informe sobre el patrimonio del hermano del presidente del Gobierno. ,1 junio,https://servicios.hoy.es/datos/imagen/emilio_hurtado_2.jpg,#00000000,#ffd030
28,28,Clara Isabel Santos Diéguez,Delegada especial de la AEAT de Extremadura,Tuvo que responder ante la jueza por no haber firmado el informe. La instrucción desnudó el patrimonio y la situación financiera del hermano del presidente. ,1 junio,https://servicios.hoy.es/datos/imagen/hac_2.jpg,#00000000,#ffd030
